# repo\ttitle\tdescription\ttopics\ttemplates\tstarter_pack\tsummary
constraint-games	Constraint Games	Classic logic puzzles implemented as constraint satisfaction and search problems.	constraint-satisfaction,sudoku,nonograms,search,algorithms,optimization	python-research,notebook-laboratory,static-website	constraint-games	Constraint Games is a laboratory for studying puzzles as formal search spaces. It treats Sudoku, Kakuro, Nonograms, Slitherlink, Lights Out, and related games as compact examples of general computational problems.
retro-terminal	Retro Terminal	Recreations of historical terminal interfaces and interaction models.	terminal,tui,retrocomputing,emulator,history-of-computing	rust-library,static-website		Retro Terminal explores historical command-line and terminal interaction as software archaeology.
microbiology-sim	Microbiology Sim	Educational simulation of microbial colonies, ecology, and adaptation.	microbiology,simulation,bacteria,ecology,computational-biology	python-research,notebook-laboratory,static-website		Microbiology Sim is an educational computational laboratory for modeling simplified microbial populations.
math-machines	Math Machines	Executable models of computation, logic, automata, and symbolic machines.	turing-machine,automata,lambda-calculus,computation,logic,cellular-automata	python-research,notebook-laboratory,static-website	math-machines	Math Machines is a collection of executable mathematical models of computation.
earth-history	Earth History	Structured computational exploration of geological and evolutionary history.	geology,paleontology,evolution,earth-science,timeline	python-research,notebook-laboratory,static-website		Earth History turns geological time into structured data that can be queried, analyzed, and visualized.
language-evolution	Language Evolution	Simulation of phonological, lexical, grammatical, and genealogical language change.	linguistics,language-evolution,historical-linguistics,simulation,phonology	python-research,notebook-laboratory,static-website		Language Evolution is a computational laboratory for historical linguistics.
tiny-operating-systems	Tiny Operating Systems	Small operating-system experiments illustrating one systems concept at a time.	operating-systems,kernel,systems-programming,rust,education	c-kernel,rust-workspace,static-website		Tiny Operating Systems is a collection of deliberately small systems experiments.
algorithm-zoo	Algorithm Zoo	Reference implementations, experiments, and benchmarks across algorithmic families.	algorithms,data-structures,graph-theory,optimization,numerical-methods	python-research,notebook-laboratory,static-website	algorithm-zoo	Algorithm Zoo is a comparative reference of algorithms implemented with an emphasis on clarity, instrumentation, and experimentation.
forgotten-computing	Forgotten Computing	Experiments in historical programming languages, systems, and computational ideas.	retrocomputing,forth,apl,prolog,smalltalk,programming-languages	latex-book,javascript-webapp,static-website		Forgotten Computing revisits programming languages, machines, and interaction models that remain intellectually interesting.
procedural-universe	Procedural Universe	Deterministic generation of fictional planets, ecosystems, cultures, and histories.	procedural-generation,worldbuilding,simulation,planets,ecosystems	python-research,notebook-laboratory,static-website		Procedural Universe is a deterministic world-generation laboratory.
